language	category	cluster_id	signals	implicit_request	safety_context	scam_text	safe_text
English	implicit_otp	auth-medical-portal	OTP_REQUEST	true	true	I am restoring your hospital portal. Read the six numbers from the sign-in alert to me so I can finish on your behalf.	Hospital staff can reset registration details without hearing your sign-in numbers. Enter them yourself only on the portal you opened.
English	implicit_otp	auth-courier-handset	OTP_REQUEST,URGENCY	true	true	The courier refund window is closing. The number that just reached your handset is the last thing I need; dictate it now.	A courier refund does not require you to dictate a sign-in number. End a call that demands one before a deadline.
English	credential_request	mailbox-migration-secret	CREDENTIAL_REQUEST	false	false	We are moving your work mailbox tonight. Reply with the password you normally use; our engineer will log in and copy everything.	Your work mailbox migration is complete. Open your usual company sign-in page; nobody from this ticket needs your password.
English	account_recovery	recovery-backup-list	OTP_REQUEST	true	true	Your recovery request is approved. Upload a photograph of the emergency login codes so I can associate them with the replacement phone.	Keep emergency login codes private. A recovery agent asking for a photograph of the list could use it to enter your account.
English	bank_impersonation	bank-card-chat-pin	BANK_IMPERSONATION,CREDENTIAL_REQUEST	false	true	This is the bank card replacement desk. Put the four digits you use at the cash machine in this chat to authenticate the replacement.	Our card replacement desk will never request your ATM PIN in chat. Track the replacement through the app you already use.
English	government_impersonation	customs-private-fine	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	false	Customs enforcement has linked your parcel to a violation. Pay the fine to this personal wallet within twenty minutes to avoid a case.	Your parcel requires a customs declaration. Review the notice in the carrier account and contact the published customs office if needed.
English	upi	upi-receive-debit	PAYMENT_REQUEST	false	true	The money I owe you is ready. Accept the collect request and authorize the debit; this is how your incoming transfer is released.	A UPI collect request authorizes money leaving your account. Do not accept a debit just because someone calls it an incoming payment.
English	qr_fraud	qr-charity-reversal	PAYMENT_REQUEST	false	true	We accidentally charged your donation twice. Scan my QR and enter your banking PIN to receive the reversal immediately.	To investigate a duplicate donation, send the receipt number. Receiving a reversal does not require scanning a payment QR or entering a PIN.
English	refund	refund-verification-deposit	PAYMENT_REQUEST	false	false	Your appliance refund is approved, but first transfer a refundable verification deposit to our agent's account.	Your appliance refund has been issued to the original payment method. No deposit or response is required.
English	investment	investment-fixed-daily	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	true	Join our private fund with a transfer today. Your capital is guaranteed and the account earns a fixed five percent every day.	Claims of guaranteed daily returns are a warning sign. Research the provider independently before committing money to any fund.
English	crypto	crypto-wallet-phrase	CREDENTIAL_REQUEST	false	true	Your wallet has failed synchronization. Paste the twelve recovery words here and our support tool will repair it without moving your coins.	Wallet support never needs your recovery words. Keep the phrase offline; anyone who receives it can move your coins.
English	job_scam	job-equipment-seller	PAYMENT_REQUEST	false	false	You passed the remote job interview without further checks. Buy your equipment from my personal payment account before we issue the contract.	Your interview is scheduled for Thursday. The recruiter will discuss equipment after a signed contract; no interview payment is due.
English	delivery	address-card-update	LINK_REQUEST,CREDENTIAL_REQUEST	false	false	Your delivery address failed validation. Follow https://parcel-fix.example and submit your full card details to unlock redelivery.	The courier could not find your building. Update the delivery instructions from the order page you already use.
English	remote_access	support-control-access	REMOTE_ACCESS	true	true	Open the remote assistance tool and read its connection number to me. Accept full control when the permission box appears.	A connection number from a remote assistance tool can grant access to your computer. Do not give it to an unsolicited caller.
English	tech_support	printer-browser-session	REMOTE_ACCESS,CREDENTIAL_REQUEST	false	false	To fix the printer, let our technician control your desktop and leave your banking account signed in for the diagnostics.	To fix the printer, open system settings and select the printer queue. You can follow these instructions yourself without a remote session.
English	kyc	kyc-caller-code	IDENTITY_VERIFICATION,OTP_REQUEST	true	true	I can renew KYC over this call. Say what the new verification message displays so I can complete the bank screen for you.	Complete KYC through the official bank channel you choose. Do not read authentication messages to a caller offering to finish the screen.
English	phishing	payroll-new-link	LINK_REQUEST,CREDENTIAL_REQUEST	false	false	Payroll has moved. Sign in with your work password at https://payroll-check.example before your next salary can be processed.	Payroll statements are available in the existing employee portal. Use your saved bookmark to view this month's statement.
English	threat	police-safe-account	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	true	I am the investigating officer. Transfer your balance to the safe account I provide before this call ends or the warrant will proceed.	Police do not protect your balance by moving it to a caller's safe account. Verify any claimed case using a published office number.
English	family_emergency	cousin-new-number	PAYMENT_REQUEST,URGENCY	false	false	It is your cousin on a borrowed phone. I cannot talk, but I need a hospital deposit sent to this account in the next ten minutes.	Your cousin asked you to call the family landline about tomorrow's hospital visit. There is no payment request in this message.
