language	category	group	signals	implicit	scam	safe
Tamil	implicit_otp	r-library-call	OTP_REQUEST	true	லைப்ரரி அக்கவுண்ட் திறந்திருக்கேன். மொபைலில் வந்த login எண்ணைச் சொல்லுங்க; உங்க பெயரில் நான் உள்ளே போறேன்.	லைப்ரரி அக்கவுண்டை நீங்களே திறக்கலாம். போனில் வரும் login எண்ணை ஊழியரிடம் சொல்லாதீங்க.
Tamil	implicit_otp	r-event-registration	OTP_REQUEST	true	நிகழ்ச்சி பதிவு என் மொபைலில் செய்கிறேன். உங்களுக்கு வந்த ஒருமுறை உள்நுழைவு எண்ணை voice message ஆக அனுப்புங்க.	நிகழ்ச்சி பதிவு உதவி கேட்டாலும் ஒருமுறை உள்நுழைவு எண்ணை voice message ஆக அனுப்பாதீங்க. உங்கள் திரையில் மட்டும் போடுங்க.
Tamil	implicit_otp	r-device-approval	OTP_REQUEST	true	புதிய device சேர்க்குறேன். போனில் காட்டும் approval digits மட்டும் சொல்லுங்க; password கேட்க மாட்டேன்.	புதிய device சேர்க்கும் approval digits கூட ரகசியம்தான். Password கேட்கவில்லை என்றாலும் அவற்றைக் கொடுக்காதீங்க.
Tamil	otp	r-card-upgrade	OTP_REQUEST,BANK_IMPERSONATION	false	வங்கி card upgrade பிரிவு இது. உங்களுக்கு வந்த ஓடிபியை இங்கே type பண்ணுங்க, உங்கள் account உள்ளே போய் மாற்றுகிறேன்.	வங்கி card upgrade பெயரில் ஓடிபி கேட்டாலும் type பண்ணாதீங்க. வங்கிச் செயலியில் உள்ள விவரங்களை நீங்களே பாருங்க.
Tamil	implicit_otp	r-rent-portal	OTP_REQUEST	true	வாடகை ரசீது portal என் laptop ல இருக்கு. உங்கள் போனில் வந்த sign-in code படிச்சுச் சொல்லுங்க; ரசீதை எடுக்கிறேன்.	வாடகை ரசீது portal ல நீங்களே login பண்ணலாம். Sign-in code இல்லாமலேயே வீட்டு உரிமையாளர் ரசீது தர முடியும்.
Tamil	contradiction	r-known-helper	OTP_REQUEST	true	வெளியாளுக்கு login code தராதீங்க. நான் உங்கள் பழைய உதவியாளர் என்பதால் அந்த ரகசிய எண்ணை எனக்கு மட்டும் அனுப்புங்க.	பழைய உதவியாளர் என்றாலும் login code தராதீங்க. தெரிந்தவர் என்பதால் ரகசிய எண்ணைப் பகிரலாம் என்று அர்த்தமில்லை.
Tamil	quoted_education	r-class-example	OTP_REQUEST	true	பாதுகாப்பு வகுப்புக்கு உங்க உண்மையான OTP வேண்டும். Trainer க்கு அனுப்புங்க; அதை வைத்து அவர் login செய்து காட்டுவார்.	பாதுகாப்பு வகுப்பில் "உண்மையான OTP அனுப்புங்க" என்பது தவறான கோரிக்கைக்கான உதாரணம். Trainer க்கும் உண்மையான OTP தர வேண்டாம்.
Tamil	remote_access	r-browser-control	REMOTE_ACCESS	true	Browser ல remote session request வரும். அதை ஏற்றுக்கிட்டு mouse control எனக்கு கொடுங்க; உங்கள் computer ஐ இங்கிருந்து இயக்குறேன்.	Browser ல யாரோ அனுப்பிய remote session request வந்தால் மறுக்கலாம். தெரியாதவருக்கு mouse control கொடுக்க வேண்டாம்.
Tamil	remote_access	r-remote-passphrase	REMOTE_ACCESS	true	இணைய உதவி செய்ய session password தேவை. Remote app ல இருப்பதைச் சொல்லுங்க, உங்கள் திரையை என் பக்கத்திலிருந்து இயக்கணும்.	Remote app session password கொடுத்தால் திரையை மற்றவர் இயக்கலாம். உதவி என்ற பெயரில் அந்நியருக்குக் கொடுக்காதீங்க.
Tamil	remote_access	r-bank-screen	REMOTE_ACCESS,BANK_IMPERSONATION	false	வங்கிச் சேவை சரிபார்ப்பு இது. Screen control அனுமதி கொடுத்துவிட்டு banking app திறங்க; நான் balance check பண்ணுவேன்.	வங்கிப் பணியாளருக்கு screen control கொடுத்து balance காட்ட வேண்டியதில்லை. Banking app நீங்களே பயன்படுத்துங்க.
Tamil	payment	r-certificate-charge	PAYMENT_REQUEST	false	சான்றிதழ் தர என் தனிப்பட்ட payment ID க்கு கட்டணம் போடுங்க. அலுவலக ரசீது கிடையாது; எனக்கு பணம் வந்ததும் சான்றிதழ் வரும்.	சான்றிதழ் கட்டணம் இருந்தால் அலுவலக ரசீதும் அதிகாரப்பூர்வ கட்டண வழியும் கேளுங்க. தனிப்பட்ட payment ID க்கு அனுப்ப வேண்டாம்.
Tamil	payment	r-collect-cancellation	PAYMENT_REQUEST	false	தவறான collect request ஐ cancel செய்ய முதலில் அதில் Pay அழுத்தி PIN போடுங்க. பணம் போனாலும் அடுத்த நிமிடம் திரும்பும்.	Collect request cancel செய்ய Pay அழுத்த வேண்டாம். பணம் செல்லும் கோரிக்கையை மறுக்கலாம்; PIN போட்டு ஒப்புதல் தர வேண்டியதில்லை.
Tamil	payment	r-seller-test-charge	PAYMENT_REQUEST	false	உங்கள் விற்பனைத் தொகை விடுவிக்க ஒரு test debit வேண்டும். நான் அனுப்பிய கட்டண கோரிக்கையை ஒப்புக்கிட்டு பணம் அனுப்புங்க.	விற்பனைத் தொகை வாங்குவதற்கு test debit தேவையில்லை. பணம் அனுப்பச் சொல்லும் கோரிக்கையை வரவு என்று நம்ப வேண்டாம்.
Tamil	kyc	r-kyc-camera-code	IDENTITY_VERIFICATION,OTP_REQUEST	true	KYC வீடியோ சரிபார்ப்புக்கு போனில் வந்த authentication code ஐ camera முன்னால் எழுதிக் காட்டுங்க. நான் அதை என் form ல போடுறேன்.	KYC வீடியோவில் authentication code எழுதிக் காட்டாதீங்க. ஆவணங்களைக் காட்டுவதும் login secret காட்டுவதும் ஒன்றல்ல.
Tamil	phishing	r-email-reward-form	LINK_REQUEST,CREDENTIAL_REQUEST	false	Reward பட்டியல் பார்க்க https://member-entry.example ல email password போடுங்க. உங்கள் mailbox password அதேபடி வேண்டும்.	Reward பட்டியல் பார்க்க mailbox password கேட்கும் புதிய தளத்தைத் தவிர்க்கவும். வழக்கமான member account ல விவரங்களைப் பாருங்க.
Tamil	phishing	r-staff-salary	LINK_REQUEST,CREDENTIAL_REQUEST	false	சம்பள விவரம் unlock ஆக இந்த https://staff-entry.example பக்கத்தில் office password தரணும். உதவி குழு உங்கள் login ஐ பயன்படுத்தும்.	Office password ஐ புதிய salary link ல கொடுக்க வேண்டாம். சம்பள விவரம் வழக்கமான employee portal ல கிடைக்கும்.
Tamil	government	 r-school-inspector	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST	false	அரசு ஆய்வாளர் பேசுறேன். பள்ளி அனுமதி நிறுத்தாமல் இருக்க என் சொந்த வங்கிக் கணக்கிற்கு இன்று பணம் அனுப்புங்க.	அரசு ஆய்வாளர் என்ற பெயரில் சொந்தக் கணக்கிற்கு பணம் கேட்பவரை நம்ப வேண்டாம். உரிய அலுவலகத்திடம் தனியாக விசாரிக்கவும்.
